slug,机型,原始字幕文章,旧版引用,字幕索引路径,B站链接,BV号,创作者,状态
pentax-me,宾得 ME,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
pentax-me-super,宾得 ME Super,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
pentax-mx,宾得 MX,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
pentax-spotmatic-sp,宾得 Spotmatic（SP）,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
pentax-spotmatic-sp,宾得 Spotmatic（SP）,感谢粉丝狂推的400元胶片相机！美能达SRT-101,../01_articles/感谢粉丝狂推的400元胶片相机！美能达SRT-101.md,,,,,字幕索引未匹配
bronica-etr,勃朗尼卡 ETR 系列,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
fujifilm-ax-5,富士 AX-5,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
fujifilm-ga645zi,富士 GA645Zi,胶片摄影入门到进阶全面指南！,../01_articles/胶片摄影入门到进阶全面指南！.md,,,,,字幕索引未匹配
fujifilm-klasse-w,富士 Klasse W,【口袋胶片机成像排行榜】我花了80000元,../01_articles/【口袋胶片机成像排行榜】我花了80000元.md,01_articles/【口袋胶片机成像排行榜】我花了80000元.md,https://www.bilibili.com/video/BV1Uj411Z7E9/,BV1Uj411Z7E9,德松Desong,已恢复
fujifilm-klasse-w,富士 Klasse W,胶片时代十大神级便携相机,../01_articles/胶片时代十大神级便携相机.md,,,,,字幕索引未匹配
fujifilm-st-701,富士 ST-701,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
fujifilm-st-801-st-901,富士 ST-801 / ST-901,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
fujifilm-wide-300,富士 Wide 300,新手旅行胶片相机推荐,../01_articles/新手旅行胶片相机推荐.md,,,,,字幕索引未匹配
hasselblad-500,哈苏 500 系列,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
hasselblad-500,哈苏 500 系列,2025年度爱用相机_从数码到胶片,../01_articles/2025年度爱用相机_从数码到胶片.md,01_articles/2025年度爱用相机_从数码到胶片.md,https://www.bilibili.com/video/BV1rSiMBmEQF/,BV1rSiMBmEQF,德松Desong,已恢复
hasselblad-500,哈苏 500 系列,Q&A胶片相机_百元入门到万元哈苏,../01_articles/Q&A胶片相机_百元入门到万元哈苏.md,01_articles/Q&A胶片相机_百元入门到万元哈苏.md,https://www.bilibili.com/video/BV1kz411B7pM/,BV1kz411B7pM,晁然然然然,已恢复
seagull-4a,海鸥 4A,张有伯全面指南,../01_articles/张有伯全面指南.md,,,,,字幕索引未匹配
canon-a-1,佳能 A-1,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
canon-ae-1,佳能 AE-1,【中字】胶片摄影 _ 2024年新手如何选购胶片相机,../01_articles/【中字】胶片摄影 _ 2024年新手如何选购胶片相机.md,01_articles/【中字】胶片摄影 _ 2024年新手如何选购胶片相机.md,https://www.bilibili.com/video/BV1LF4m1M7ca/,BV1LF4m1M7ca,ContactSheets,已恢复
canon-ae-1,佳能 AE-1,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
canon-ae-1-program,佳能 AE-1 Program,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
canon-eos-3,佳能 EOS 3,张有伯全面指南,../01_articles/张有伯全面指南.md,,,,,字幕索引未匹配
canon-eos-3,佳能 EOS 3,Jie's Lens 入门指北,../01_articles/Jie's Lens 入门指北.md,,,,,字幕索引未匹配
canon-f-1,佳能 F-1,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
canon-ftb-n,佳能 FTb-N,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
contax-aria,康泰时 Aria,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
contax-g1,康泰时 G1,Q&A胶片相机_百元入门到万元哈苏,../01_articles/Q&A胶片相机_百元入门到万元哈苏.md,01_articles/Q&A胶片相机_百元入门到万元哈苏.md,https://www.bilibili.com/video/BV1kz411B7pM/,BV1kz411B7pM,晁然然然然,已恢复
contax-g2,康泰时 G2,2025年度爱用相机_从数码到胶片,../01_articles/2025年度爱用相机_从数码到胶片.md,01_articles/2025年度爱用相机_从数码到胶片.md,https://www.bilibili.com/video/BV1rSiMBmEQF/,BV1rSiMBmEQF,德松Desong,已恢复
contax-g2,康泰时 G2,Q&A胶片相机_百元入门到万元哈苏,../01_articles/Q&A胶片相机_百元入门到万元哈苏.md,01_articles/Q&A胶片相机_百元入门到万元哈苏.md,https://www.bilibili.com/video/BV1kz411B7pM/,BV1kz411B7pM,晁然然然然,已恢复
contax-rts,康泰时 RTS 系列,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
contax-s2,康泰时 S2,Q&A老王情侣视频,../01_articles/Q&A老王情侣视频.md,,,,,字幕索引未匹配
contax-t2,康泰时 T2,【口袋胶片机成像排行榜】我花了80000元,../01_articles/【口袋胶片机成像排行榜】我花了80000元.md,01_articles/【口袋胶片机成像排行榜】我花了80000元.md,https://www.bilibili.com/video/BV1Uj411Z7E9/,BV1Uj411Z7E9,德松Desong,已恢复
contax-t2,康泰时 T2,胶片时代十大神级便携相机,../01_articles/胶片时代十大神级便携相机.md,,,,,字幕索引未匹配
contax-t2,康泰时 T2,锐评 胶片机从夯到拉排行榜,../01_articles/锐评 胶片机从夯到拉排行榜.md,,,,,字幕索引未匹配
contax-t3,康泰时 T3,【口袋胶片机成像排行榜】我花了80000元,../01_articles/【口袋胶片机成像排行榜】我花了80000元.md,01_articles/【口袋胶片机成像排行榜】我花了80000元.md,https://www.bilibili.com/video/BV1Uj411Z7E9/,BV1Uj411Z7E9,德松Desong,已恢复
contax-t3,康泰时 T3,胶片时代十大神级便携相机,../01_articles/胶片时代十大神级便携相机.md,,,,,字幕索引未匹配
contax-t3,康泰时 T3,重新入手康泰时T3,../01_articles/重新入手康泰时T3.md,,,,,字幕索引未匹配
contax-tvs,康泰时 TVS,新手旅行胶片相机推荐,../01_articles/新手旅行胶片相机推荐.md,,,,,字幕索引未匹配
konica-hexar-af,柯尼卡 Hexar AF,【口袋胶片机成像排行榜】我花了80000元,../01_articles/【口袋胶片机成像排行榜】我花了80000元.md,01_articles/【口袋胶片机成像排行榜】我花了80000元.md,https://www.bilibili.com/video/BV1Uj411Z7E9/,BV1Uj411Z7E9,德松Desong,已恢复
konica-hexar-af,柯尼卡 Hexar AF,胶片时代十大神级便携相机,../01_articles/胶片时代十大神级便携相机.md,,,,,字幕索引未匹配
konica-t3n,柯尼卡 T3N,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
konica-t4,柯尼卡 T4,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
leica-cm,徕卡 CM,【口袋胶片机成像排行榜】我花了80000元,../01_articles/【口袋胶片机成像排行榜】我花了80000元.md,01_articles/【口袋胶片机成像排行榜】我花了80000元.md,https://www.bilibili.com/video/BV1Uj411Z7E9/,BV1Uj411Z7E9,德松Desong,已恢复
leica-cm,徕卡 CM,胶片时代十大神级便携相机,../01_articles/胶片时代十大神级便携相机.md,,,,,字幕索引未匹配
leica-m6,徕卡 M6,张有伯全面指南,../01_articles/张有伯全面指南.md,,,,,字幕索引未匹配
leica-minilux,徕卡 Minilux,刚入门的小白如何选择胶片相机_ 胶片相机选购指南！,../01_articles/刚入门的小白如何选择胶片相机_ 胶片相机选购指南！.md,,,,,字幕索引未匹配
leica-minilux,徕卡 Minilux,胶片摄影入门到进阶全面指南！,../01_articles/胶片摄影入门到进阶全面指南！.md,,,,,字幕索引未匹配
leica-minilux,徕卡 Minilux,胶片时代十大神级便携相机,../01_articles/胶片时代十大神级便携相机.md,,,,,字幕索引未匹配
