slug,机型,原始字幕文章,旧版引用,字幕索引路径,B站链接,BV号,创作者,状态
yashica-fr,雅西卡 FR 系列,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
yashica-fx-3-super-2000,雅西卡 FX-3 Super 2000,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
yashica-fx-3-super-2000,雅西卡 FX-3 Super 2000,刚入门的小白如何选择胶片相机_ 胶片相机选购指南！,../01_articles/刚入门的小白如何选择胶片相机_ 胶片相机选购指南！.md,,,,,字幕索引未匹配
yashica-fx-3-super-2000,雅西卡 FX-3 Super 2000,Q&A胶片相机_百元入门到万元哈苏,../01_articles/Q&A胶片相机_百元入门到万元哈苏.md,01_articles/Q&A胶片相机_百元入门到万元哈苏.md,https://www.bilibili.com/video/BV1kz411B7pM/,BV1kz411B7pM,晁然然然然,已恢复
yashica-t3-super,雅西卡 T3 Super,入门胶片相机不知道怎么选？推荐几款性价比高的胶片傻瓜相机！,../01_articles/入门胶片相机不知道怎么选？推荐几款性价比高的胶片傻瓜相机！.md,,,,,字幕索引未匹配
kodak-fuji-funsaver,一次性相机,139元的胶片相机是智商税吗,../01_articles/139元的胶片相机是智商税吗.md,01_articles/139元的胶片相机是智商税吗.md,https://www.bilibili.com/video/BV1QmdaYxEGi/,BV1QmdaYxEGi,橙红Iris,已恢复
kodak-fuji-funsaver,一次性相机,如何选择你的第一台胶片相机？,../01_articles/如何选择你的第一台胶片相机？.md,,,,,字幕索引未匹配
kodak-fuji-funsaver,一次性相机,一分钟教会你如何使用富士一次性胶卷相机，新手小白必看教学,../01_articles/一分钟教会你如何使用富士一次性胶卷相机，新手小白必看教学.md,,,,,字幕索引未匹配
pearl-river-s-201,珠江 S-201,100元福利局 国产唯一腰屏胶片相机 珠江201,../01_articles/100元福利局 国产唯一腰屏胶片相机 珠江201.md,01_articles/100元福利局 国产唯一腰屏胶片相机 珠江201.md,https://www.bilibili.com/video/BV1bbTX6UEGv/,BV1bbTX6UEGv,淘宝仅一位,已恢复
praktica-super-tl1000,Praktica Super TL1000,【中字】胶片摄影 _ 2024年新手如何选购胶片相机,../01_articles/【中字】胶片摄影 _ 2024年新手如何选购胶片相机.md,01_articles/【中字】胶片摄影 _ 2024年新手如何选购胶片相机.md,https://www.bilibili.com/video/BV1LF4m1M7ca/,BV1LF4m1M7ca,ContactSheets,已恢复
zenit-e,Zenit E,【中字】胶片摄影 _ 2024年新手如何选购胶片相机,../01_articles/【中字】胶片摄影 _ 2024年新手如何选购胶片相机.md,01_articles/【中字】胶片摄影 _ 2024年新手如何选购胶片相机.md,https://www.bilibili.com/video/BV1LF4m1M7ca/,BV1LF4m1M7ca,ContactSheets,已恢复
