article_title,source_group,archive_path,bvid,video_url,creator,published_at,status
2026-07-11-奥林巴斯OM-1测评,00_raw,00_raw/2026-07-11-奥林巴斯OM-1测评.md,BV1HW411y7BV,https://www.bilibili.com/video/BV1HW411y7BV/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-宾得K1000测评,00_raw,00_raw/2026-07-11-宾得K1000测评.md,BV1Zq4y1K7fR,https://www.bilibili.com/video/BV1Zq4y1K7fR/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-宾得LX测评,00_raw,00_raw/2026-07-11-宾得LX测评.md,BV1Rb421B7pK,https://www.bilibili.com/video/BV1Rb421B7pK/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-宾得ME Super测评,00_raw,00_raw/2026-07-11-宾得ME Super测评.md,BV1kv4y1c7Vt,https://www.bilibili.com/video/BV1kv4y1c7Vt/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-宾得Spotmatic测评,00_raw,00_raw/2026-07-11-宾得Spotmatic测评.md,BV1oS4y1z7EH,https://www.bilibili.com/video/BV1oS4y1z7EH/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-康泰时G1测评,00_raw,00_raw/2026-07-11-康泰时G1测评.md,BV1oM4y1M7HV,https://www.bilibili.com/video/BV1oM4y1M7HV/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-康泰时G2测评,00_raw,00_raw/2026-07-11-康泰时G2测评.md,BV1Uq4y1K7gm,https://www.bilibili.com/video/BV1Uq4y1K7gm/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-康泰时T2测评,00_raw,00_raw/2026-07-11-康泰时T2测评.md,BV1sP4y1A7UR,https://www.bilibili.com/video/BV1sP4y1A7UR/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-徕卡M6测评,00_raw,00_raw/2026-07-11-徕卡M6测评.md,BV1zS4y1z7mU,https://www.bilibili.com/video/BV1zS4y1z7mU/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-胶片时代的尼康宝藏！平价相机推荐,00_raw,00_raw/2026-07-11-胶片时代的尼康宝藏！平价相机推荐.md,BV1qqwLzcE81,https://www.bilibili.com/video/BV1qqwLzcE81/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,Anti-lover,,有效
